h3h2_example	UPDive_MAD
chr1	4.456181044966034
chr2	5.53666146500016
chr3	5.447576658957027
chr4	7.024712784304091
chr5	1.4038816577457336
chr6	2.4408734222790414
chr7	3.2738716811264212
chr8	2.141560698725984
chr9	2.318727468779545
chr10	9.826872028279041
chr11	6.712648940835062
chr12	5.807339846734002
chr13	3.1465335446027245
chr14	1.731240712097777
chr15	7.029483627234279
chr16	2.473979387886312
chr17	4.847088886995683
chr18	3.2917170545805776
chr19	4.4463471699817845
chr20	1.5832487603019199
chr21	0.4510307182760238
chr22	3.721964672736872
